file,cycle,pulse,segment,t_start,t_end,E_gate_J,E_drain_J,E_total_J,n_samples
c1_p1_fall_cyclic_vm6_des.plt,1,1,fall,1.010010e-07,1.020000e-07,-2.814611e-16,7.712788e-16,4.898177e-16,30
c1_p1_read_cyclic_vm6_des.plt,1,1,read,1.020000e-07,2.020000e-07,7.587431e-17,3.785034e-18,7.965934e-17,21
c1_p1_rise_cyclic_vm6_des.plt,1,1,rise,1.000000e-12,1.000000e-09,2.800549e-16,7.581508e-16,1.038206e-15,30
c1_p1_write_cyclic_vm6_des.plt,1,1,write,1.000000e-09,1.010000e-07,3.636830e-15,1.304797e-13,1.341165e-13,11
c1_p2_fall_cyclic_vm6_des.plt,1,2,fall,3.030010e-07,3.040000e-07,-2.814654e-16,7.715006e-16,4.900352e-16,30
c1_p2_read_cyclic_vm6_des.plt,1,2,read,3.040000e-07,4.040000e-07,7.587524e-17,3.785069e-18,7.966031e-17,21
c1_p2_rise_cyclic_vm6_des.plt,1,2,rise,2.020010e-07,2.030000e-07,2.800617e-16,7.582878e-16,1.038350e-15,30
c1_p2_write_cyclic_vm6_des.plt,1,2,write,2.030000e-07,3.030000e-07,3.636888e-15,1.304842e-13,1.341211e-13,11
c1_p3_fall_cyclic_vm6_des.plt,1,3,fall,5.050010e-07,5.060000e-07,-2.814727e-16,7.718742e-16,4.904014e-16,30
c1_p3_read_cyclic_vm6_des.plt,1,3,read,5.060000e-07,6.060000e-07,7.587841e-17,3.785207e-18,7.966362e-17,21
c1_p3_rise_cyclic_vm6_des.plt,1,3,rise,4.040010e-07,4.050000e-07,2.800763e-16,7.585873e-16,1.038664e-15,30
c1_p3_write_cyclic_vm6_des.plt,1,3,write,4.050000e-07,5.050000e-07,3.636952e-15,1.304928e-13,1.341298e-13,11
c1_p4_fall_cyclic_vm6_des.plt,1,4,fall,7.070010e-07,7.080000e-07,-2.814827e-16,7.723923e-16,4.909097e-16,30
c1_p4_read_cyclic_vm6_des.plt,1,4,read,7.080000e-07,8.080000e-07,7.588321e-17,3.785421e-18,7.966863e-17,21
c1_p4_rise_cyclic_vm6_des.plt,1,4,rise,6.060010e-07,6.070000e-07,2.800976e-16,7.590267e-16,1.039124e-15,30
c1_p4_write_cyclic_vm6_des.plt,1,4,write,6.070000e-07,7.070000e-07,3.637028e-15,1.305048e-13,1.341419e-13,11
c1_p5_fall_cyclic_vm6_des.plt,1,5,fall,9.090010e-07,9.100000e-07,-2.814958e-16,7.731254e-16,4.916295e-16,30
c1_p5_read_cyclic_vm6_des.plt,1,5,read,9.100000e-07,1.010000e-06,7.588956e-17,3.785704e-18,7.967527e-17,21
c1_p5_rise_cyclic_vm6_des.plt,1,5,rise,8.080010e-07,8.090000e-07,2.801271e-16,7.596493e-16,1.039776e-15,30
c1_p5_write_cyclic_vm6_des.plt,1,5,write,8.090000e-07,9.090000e-07,3.637134e-15,1.305218e-13,1.341589e-13,11
c1_p6_fall_cyclic_vm6_des.plt,1,6,fall,1.111001e-06,1.112000e-06,-2.815120e-16,7.740705e-16,4.925585e-16,30
c1_p6_read_cyclic_vm6_des.plt,1,6,read,1.112000e-06,1.212000e-06,7.589834e-17,3.786091e-18,7.968443e-17,21
c1_p6_rise_cyclic_vm6_des.plt,1,6,rise,1.010001e-06,1.011000e-06,2.801661e-16,7.604884e-16,1.040655e-15,30
c1_p6_write_cyclic_vm6_des.plt,1,6,write,1.011000e-06,1.111000e-06,3.637256e-15,1.305441e-13,1.341814e-13,11
c1_p7_fall_cyclic_vm6_des.plt,1,7,fall,1.313001e-06,1.314000e-06,-2.815303e-16,7.751934e-16,4.936631e-16,30
c1_p7_read_cyclic_vm6_des.plt,1,7,read,1.314000e-06,1.414000e-06,7.591011e-17,3.786612e-18,7.969672e-17,21
c1_p7_rise_cyclic_vm6_des.plt,1,7,rise,1.212001e-06,1.213000e-06,2.802132e-16,7.615204e-16,1.041734e-15,30
c1_p7_write_cyclic_vm6_des.plt,1,7,write,1.213000e-06,1.313000e-06,3.637384e-15,1.305711e-13,1.342085e-13,11
c1_p8_fall_cyclic_vm6_des.plt,1,8,fall,1.515001e-06,1.516000e-06,-2.815502e-16,7.764573e-16,4.949071e-16,30
c1_p8_read_cyclic_vm6_des.plt,1,8,read,1.516000e-06,1.616000e-06,7.592444e-17,3.787253e-18,7.971169e-17,21
c1_p8_rise_cyclic_vm6_des.plt,1,8,rise,1.414001e-06,1.415000e-06,2.802665e-16,7.627082e-16,1.042975e-15,30
c1_p8_write_cyclic_vm6_des.plt,1,8,write,1.415000e-06,1.515000e-06,3.637514e-15,1.306018e-13,1.342393e-13,11
c1_p9_fall_cyclic_vm6_des.plt,1,9,fall,1.717001e-06,1.718000e-06,-2.815707e-16,7.778287e-16,4.962580e-16,30
c1_p9_read_cyclic_vm6_des.plt,1,9,read,1.718000e-06,1.818000e-06,7.594089e-17,3.787992e-18,7.972888e-17,21
c1_p9_rise_cyclic_vm6_des.plt,1,9,rise,1.616001e-06,1.617000e-06,2.803244e-16,7.640185e-16,1.044343e-15,30
c1_p9_write_cyclic_vm6_des.plt,1,9,write,1.617000e-06,1.717000e-06,3.637644e-15,1.306354e-13,1.342730e-13,11
c2_p1_fall_cyclic_vm6_des.plt,2,1,fall,8.193900e-05,8.194000e-05,-2.622469e-16,5.265788e-16,2.643319e-16,30
c2_p1_read_cyclic_vm6_des.plt,2,1,read,8.194000e-05,8.204000e-05,7.391419e-17,3.690846e-18,7.760503e-17,21
c2_p1_rise_cyclic_vm6_des.plt,2,1,rise,8.183800e-05,8.183900e-05,2.639676e-16,5.229915e-16,7.869592e-16,30
c2_p1_write_cyclic_vm6_des.plt,2,1,write,8.183900e-05,8.193900e-05,3.608189e-15,1.222154e-13,1.258235e-13,11
c2_p2_fall_cyclic_vm6_des.plt,2,2,fall,8.214100e-05,8.214200e-05,-2.622713e-16,5.267675e-16,2.644963e-16,30
c2_p2_read_cyclic_vm6_des.plt,2,2,read,8.214200e-05,8.224200e-05,7.391390e-17,3.690831e-18,7.760473e-17,21
